"","B4a1a1b","C4a2a1a","C4a2a1b","E2b","M7c1c3","U5b3a1a","Z7"
"B4a1a1b",0,6.15494437673799,6.50108985628829,5.24605234275618,4.53970663735524,0.543507633067062,4.57915595724671
"C4a2a1a",6.15494437673799,0,0.41909841078289,5.37218865768748,4.57749910705997,5.86603710438655,2.37940044745958
"C4a2a1b",6.50108985628829,0.41909841078289,0,5.7717617206864,4.9883700234457,6.19386789353013,2.79755347704987
"E2b",5.24605234275618,5.37218865768748,5.7717617206864,0,0.965694609152462,5.46661264966613,3.11787829516006
"M7c1c3",4.53970663735524,4.57749910705997,4.9883700234457,0.965694609152462,0,4.69658472137015,2.2423733277283
"U5b3a1a",0.543507633067062,5.86603710438655,6.19386789353013,5.46661264966613,4.69658472137015,0,4.46991863085164
"Z7",4.57915595724671,2.37940044745958,2.79755347704987,3.11787829516006,2.2423733277283,4.46991863085164,0
